timesteps,mean_reward,std_reward
8.000000000000000000e+03,1.804132100000000183e-01,3.105319813383701777e-01
1.600000000000000000e+04,1.795529299999999995e-01,2.624106735304665428e-01
2.400000000000000000e+04,1.954995360000000015e-01,1.884062216380358590e-01
3.200000000000000000e+04,1.981414800000000087e-01,1.663143453202567124e-01
4.000000000000000000e+04,2.227453279999999924e-01,2.612392338618080290e-01
4.800000000000000000e+04,2.095732100000000098e-01,2.057126040169874603e-01
5.600000000000000000e+04,2.099986060000000043e-01,2.088952118502642175e-01
6.400000000000000000e+04,2.143643360000000164e-01,2.195081458145804187e-01
7.200000000000000000e+04,2.336511800000000139e-01,2.461220090721908393e-01
8.000000000000000000e+04,2.047311739999999880e-01,1.574937768425905826e-01
