timesteps,mean_reward,std_reward
8.000000000000000000e+03,1.663871819999999946e-01,4.674515487244949585e-01
1.600000000000000000e+04,1.070015380000000071e-01,3.609984004357146281e-01
2.400000000000000000e+04,2.028135460000000112e-01,1.685968392401111515e-01
3.200000000000000000e+04,2.191804259999999838e-01,2.032235615131388340e-01
4.000000000000000000e+04,2.052768140000000019e-01,1.463058021188203273e-01
4.800000000000000000e+04,2.091870379999999918e-01,1.579656098131000108e-01
5.600000000000000000e+04,2.113023499999999999e-01,1.755225898266302986e-01
6.400000000000000000e+04,2.054709520000000122e-01,1.642664734004650740e-01
7.200000000000000000e+04,2.236391419999999852e-01,2.450385732006245543e-01
8.000000000000000000e+04,2.117551739999999905e-01,1.987813968667483944e-01
