timesteps,mean_reward,std_reward
8.000000000000000000e+03,1.896601019999999971e-01,1.111954555484692270e-01
1.600000000000000000e+04,2.031970039999999866e-01,1.340939345569813201e-01
2.400000000000000000e+04,2.005616459999999823e-01,5.682970186989092648e-02
3.200000000000000000e+04,2.072971680000000039e-01,2.066102880115696927e-01
4.000000000000000000e+04,2.055280539999999878e-01,1.597319136639609727e-01
4.800000000000000000e+04,2.079070940000000423e-01,1.845705973107232556e-01
5.600000000000000000e+04,2.149553720000000057e-01,2.010294404889731990e-01
6.400000000000000000e+04,2.141926720000000006e-01,1.425209652478834910e-01
7.200000000000000000e+04,2.016717080000000051e-01,1.329772299359658627e-01
8.000000000000000000e+04,2.170813779999999915e-01,1.743549642813393419e-01
