timesteps,mean_reward,std_reward
8.000000000000000000e+03,6.680814599999999881e-02,4.683111305571080463e-01
1.600000000000000000e+04,3.292971199999999987e-02,5.476558072389966503e-01
2.400000000000000000e+04,2.110764259999999559e-01,1.725568540758567471e-01
3.200000000000000000e+04,2.371630959999999899e-01,2.734027650017658018e-01
4.000000000000000000e+04,2.009929759999999899e-01,1.468987638933405837e-01
4.800000000000000000e+04,2.050979120000000211e-01,1.691017044935273772e-01
5.600000000000000000e+04,2.112277140000000109e-01,1.872969783284615386e-01
6.400000000000000000e+04,1.988953679999999891e-01,1.478284140499943888e-01
7.200000000000000000e+04,2.212392120000000184e-01,2.183599034199984745e-01
8.000000000000000000e+04,2.072153399999999979e-01,1.660179776145595532e-01
