timesteps,mean_reward,std_reward
8.000000000000000000e+03,1.992341499999999987e-01,2.922883802218751992e-01
1.600000000000000000e+04,2.158089999999999731e-01,2.067997499916864046e-01
2.400000000000000000e+04,2.049847439999999688e-01,1.948616188918239900e-01
3.200000000000000000e+04,2.089334560000000174e-01,2.049968501935775234e-01
4.000000000000000000e+04,1.920935460000000039e-01,1.137284601128665806e-01
4.800000000000000000e+04,2.053509439999999797e-01,1.606112528107444259e-01
5.600000000000000000e+04,2.211226800000000159e-01,1.919158495759367977e-01
6.400000000000000000e+04,2.223357320000000081e-01,2.063911255060744410e-01
7.200000000000000000e+04,2.163854159999999971e-01,1.842676032270321451e-01
8.000000000000000000e+04,2.130684999999999940e-01,1.693444005529146368e-01
