timesteps,mean_reward,std_reward
8.000000000000000000e+03,1.414149979999999862e-01,3.545223986395132920e-01
1.600000000000000000e+04,1.229601959999999938e-01,3.389066880393268311e-01
2.400000000000000000e+04,2.058162480000000072e-01,2.149474110379338831e-01
3.200000000000000000e+04,2.296490839999999756e-01,2.667822239111086735e-01
4.000000000000000000e+04,2.114795500000000161e-01,2.056162188314810679e-01
4.800000000000000000e+04,2.149879820000000219e-01,1.814550102522541897e-01
5.600000000000000000e+04,2.125681359999999909e-01,1.776181765600849394e-01
6.400000000000000000e+04,2.111129619999999874e-01,1.681149341806626729e-01
7.200000000000000000e+04,2.209368059999999856e-01,1.865911769982288582e-01
8.000000000000000000e+04,2.154253119999999799e-01,1.703538527515320034e-01
