timesteps,mean_reward,std_reward
8.000000000000000000e+03,1.215850019999999976e-01,4.059344593378221289e-01
1.600000000000000000e+04,1.179110479999999905e-01,4.105236038116806263e-01
2.400000000000000000e+04,2.269907080000000132e-01,2.396459330257176279e-01
3.200000000000000000e+04,2.244984100000000093e-01,2.015696494956170370e-01
4.000000000000000000e+04,2.140933120000000078e-01,2.032250774601172538e-01
4.800000000000000000e+04,2.095723939999999952e-01,1.352520898464890931e-01
5.600000000000000000e+04,2.088734860000000249e-01,1.400083935185094663e-01
6.400000000000000000e+04,2.189375699999999980e-01,2.273704169940608255e-01
7.200000000000000000e+04,2.252929260000000045e-01,2.147938018106214375e-01
8.000000000000000000e+04,2.095527839999999919e-01,1.736307018094131460e-01
