timesteps,mean_reward,std_reward
8.000000000000000000e+03,2.018745359999999933e-01,5.378436659287439553e-02
1.600000000000000000e+04,1.950675759999999925e-01,9.010482840820586981e-02
2.400000000000000000e+04,1.979802720000000127e-01,2.129158278315964326e-01
3.200000000000000000e+04,2.079078759999999915e-01,1.951745801829649629e-01
4.000000000000000000e+04,2.156518780000000191e-01,2.214918173170085935e-01
4.800000000000000000e+04,2.195415179999999911e-01,1.989771419024247423e-01
5.600000000000000000e+04,2.048005679999999884e-01,1.359164100386608121e-01
6.400000000000000000e+04,2.137473239999999886e-01,2.171354981488725355e-01
7.200000000000000000e+04,2.136202239999999974e-01,1.744580302868567467e-01
8.000000000000000000e+04,2.196663100000000035e-01,1.938034009560252735e-01
