timesteps,mean_reward,std_reward
8.000000000000000000e+03,1.984055480000000149e-01,2.548245914986065341e-01
1.600000000000000000e+04,2.073896240000000224e-01,2.057540879035423265e-01
2.400000000000000000e+04,2.023486420000000230e-01,2.020714999534418133e-01
3.200000000000000000e+04,1.997100779999999853e-01,1.646261403929518974e-01
4.000000000000000000e+04,2.350403679999999995e-01,2.607191719132073704e-01
4.800000000000000000e+04,1.986901819999999930e-01,1.310935526360960113e-01
5.600000000000000000e+04,2.128530120000000081e-01,2.231183000797465898e-01
6.400000000000000000e+04,2.144368759999999707e-01,1.641513569509452097e-01
7.200000000000000000e+04,2.061656839999999880e-01,1.113088987586533796e-01
8.000000000000000000e+04,2.139301419999999898e-01,1.570161360947397722e-01
