timesteps,mean_reward,std_reward
8.000000000000000000e+03,1.419857499999999939e-01,3.225342102275904344e-01
1.600000000000000000e+04,1.478189779999999898e-01,2.906849930461383735e-01
2.400000000000000000e+04,2.139356840000000148e-01,1.505623175468289165e-01
3.200000000000000000e+04,2.015665719999999994e-01,2.255442368714413170e-01
4.000000000000000000e+04,1.964366380000000245e-01,1.543347595329417621e-01
4.800000000000000000e+04,2.016549539999999974e-01,1.522694112438078562e-01
5.600000000000000000e+04,2.152643860000000020e-01,1.708991719682134702e-01
6.400000000000000000e+04,2.057685160000000124e-01,1.276655535570098421e-01
7.200000000000000000e+04,2.152755179999999990e-01,1.967398832877301496e-01
8.000000000000000000e+04,2.071058879999999880e-01,1.554884317316740094e-01
