timesteps,mean_reward,std_reward
8.000000000000000000e+03,1.809315900000000310e-01,4.111589118979155355e-01
1.600000000000000000e+04,1.409914800000000301e-01,3.943613741232952496e-01
2.400000000000000000e+04,2.095175039999999933e-01,1.926354817446827017e-01
3.200000000000000000e+04,2.057677559999999961e-01,1.085078913861865918e-01
4.000000000000000000e+04,2.128464260000000052e-01,1.806002393133977202e-01
4.800000000000000000e+04,2.171261200000000058e-01,1.944313985513183296e-01
5.600000000000000000e+04,2.092388760000000181e-01,1.153277375077159106e-01
6.400000000000000000e+04,2.046382919999999994e-01,1.333832945152980398e-01
7.200000000000000000e+04,2.060020660000000114e-01,1.844279818813773508e-01
8.000000000000000000e+04,2.179146220000000023e-01,2.108472238768419604e-01
