timesteps,mean_reward,std_reward
8.000000000000000000e+03,1.064859760000000100e-01,4.105841284351593456e-01
1.600000000000000000e+04,1.080451460000000224e-01,3.949034858099795264e-01
2.400000000000000000e+04,2.021356039999999965e-01,1.026684507210427477e-01
3.200000000000000000e+04,2.059511519999999984e-01,1.483371384253076852e-01
4.000000000000000000e+04,2.103893499999999750e-01,1.979406169228425383e-01
4.800000000000000000e+04,2.083449300000000115e-01,1.730040625255982178e-01
5.600000000000000000e+04,2.065054679999999976e-01,1.664111381979132276e-01
6.400000000000000000e+04,2.106677780000000000e-01,2.029316343543034751e-01
7.200000000000000000e+04,2.007506679999999932e-01,1.541526689891608015e-01
8.000000000000000000e+04,2.341437800000000236e-01,2.365199677825946534e-01
