timesteps,mean_reward,std_reward
8.000000000000000000e+03,1.299260819999999705e-01,3.384612801607818633e-01
1.600000000000000000e+04,1.155069920000000028e-01,3.067806645728702875e-01
2.400000000000000000e+04,2.198515759999999652e-01,1.786914123008384314e-01
3.200000000000000000e+04,2.153804199999999891e-01,1.594644964176276936e-01
4.000000000000000000e+04,2.069777599999999829e-01,1.744787919307054236e-01
4.800000000000000000e+04,2.119555659999999842e-01,1.595105928504738646e-01
5.600000000000000000e+04,2.110999820000000193e-01,1.469311543017942645e-01
6.400000000000000000e+04,2.007877819999999980e-01,1.293977410832757857e-01
7.200000000000000000e+04,2.048190260000000151e-01,1.316569157918311694e-01
8.000000000000000000e+04,2.075128940000000033e-01,1.536941123080086125e-01
