timesteps,mean_reward,std_reward
8.000000000000000000e+03,1.015413379999999949e-01,5.800436869765895898e-01
1.600000000000000000e+04,1.632708140000000419e-01,3.064304141576409957e-01
2.400000000000000000e+04,2.143799240000000272e-01,1.775633936118540812e-01
3.200000000000000000e+04,2.007569339999999980e-01,1.248099246842078874e-01
4.000000000000000000e+04,2.090269000000000155e-01,1.426690072371641638e-01
4.800000000000000000e+04,1.968959399999999915e-01,8.341601981672584765e-02
5.600000000000000000e+04,2.073060019999999892e-01,1.248342568472051994e-01
6.400000000000000000e+04,2.078845319999999830e-01,1.407470028736277357e-01
7.200000000000000000e+04,2.209177379999999746e-01,1.981102030146084103e-01
8.000000000000000000e+04,2.046683319999999806e-01,9.076426786832897387e-02
