timesteps,mean_reward,std_reward
8.000000000000000000e+03,1.928617619999999921e-01,2.098954892419400142e-01
1.600000000000000000e+04,2.166766960000000020e-01,1.938094932881142263e-01
2.400000000000000000e+04,2.155821200000000160e-01,1.787270481855994797e-01
3.200000000000000000e+04,2.057372860000000192e-01,1.401655646287068846e-01
4.000000000000000000e+04,2.009316640000000098e-01,1.481400453047422849e-01
4.800000000000000000e+04,2.160914880000000260e-01,2.347395627000481988e-01
5.600000000000000000e+04,2.142986199999999952e-01,2.282849702751708065e-01
6.400000000000000000e+04,2.152300739999999935e-01,1.612465378117140247e-01
7.200000000000000000e+04,2.162059239999999938e-01,2.126580426746898789e-01
8.000000000000000000e+04,1.987175800000000048e-01,1.382678098433022806e-01
