timesteps,mean_reward,std_reward
8.000000000000000000e+03,2.126056019999999769e-01,1.336976024884799497e-01
1.600000000000000000e+04,1.950324320000000056e-01,1.331289236973595413e-01
2.400000000000000000e+04,2.053037519999999783e-01,1.338762596111741365e-01
3.200000000000000000e+04,1.940355520000000000e-01,1.465176451488055254e-01
4.000000000000000000e+04,2.059268819999999778e-01,1.472734030240086256e-01
4.800000000000000000e+04,1.985293880000000011e-01,7.917838981985839131e-02
5.600000000000000000e+04,2.046168240000000027e-01,1.482670735841542797e-01
6.400000000000000000e+04,2.053047300000000186e-01,1.455662724470785652e-01
7.200000000000000000e+04,2.030584660000000208e-01,1.699397685826035398e-01
8.000000000000000000e+04,2.096830299999999925e-01,1.818410931540313247e-01
