timesteps,mean_reward,std_reward
8.000000000000000000e+03,2.061391420000000252e-01,1.307228423353387348e-01
1.600000000000000000e+04,2.152942540000000182e-01,1.913983340570170333e-01
2.400000000000000000e+04,2.037510199999999772e-01,1.439354010836514097e-01
3.200000000000000000e+04,1.958846379999999998e-01,1.388900644444337196e-01
4.000000000000000000e+04,2.009799560000000151e-01,1.121059695989382321e-01
4.800000000000000000e+04,2.045894460000000081e-01,1.813926606085788928e-01
5.600000000000000000e+04,2.037821700000000125e-01,1.320573002250049754e-01
6.400000000000000000e+04,2.136976780000000298e-01,1.948002999735121699e-01
7.200000000000000000e+04,2.103518520000000058e-01,2.025556823557366770e-01
8.000000000000000000e+04,2.093263840000000320e-01,1.556017641898848891e-01
