timesteps,mean_reward,std_reward
8.000000000000000000e+03,2.085567720000000014e-01,3.022174654563829499e-01
1.600000000000000000e+04,2.195393720000000104e-01,2.150533704991893780e-01
2.400000000000000000e+04,1.989493420000000012e-01,1.478274141417654508e-01
3.200000000000000000e+04,1.988700820000000036e-01,9.774451437691671074e-02
4.000000000000000000e+04,2.097796559999999810e-01,1.739880948112417780e-01
4.800000000000000000e+04,2.087737859999999890e-01,1.602398607476310799e-01
5.600000000000000000e+04,2.116467459999999967e-01,1.663895978066221581e-01
6.400000000000000000e+04,2.003903340000000033e-01,1.353334861409194734e-01
7.200000000000000000e+04,2.066002679999999758e-01,2.133050320034859670e-01
8.000000000000000000e+04,2.166527679999999678e-01,1.885497569562214482e-01
