timesteps,mean_reward,std_reward
8.000000000000000000e+03,1.344453899999999980e-01,2.812094031356240365e-01
1.600000000000000000e+04,1.569958159999999825e-01,3.639789377127338188e-01
2.400000000000000000e+04,2.036878899999999826e-01,5.971557263921949132e-02
3.200000000000000000e+04,2.136770739999999946e-01,1.664851860451629639e-01
4.000000000000000000e+04,2.098207699999999898e-01,1.894487714385635901e-01
4.800000000000000000e+04,2.116800360000000159e-01,1.943074897588425720e-01
5.600000000000000000e+04,2.127161140000000117e-01,1.695020109658555152e-01
6.400000000000000000e+04,2.189974140000000014e-01,2.244833845849946163e-01
7.200000000000000000e+04,2.095905479999999876e-01,1.605495126710750620e-01
8.000000000000000000e+04,2.008515899999999965e-01,1.445563283649868302e-01
