timesteps,mean_reward,std_reward
8.000000000000000000e+03,1.998618139999999987e-01,1.619730161784375955e-02
1.600000000000000000e+04,2.062363500000000127e-01,1.285342925453262231e-01
2.400000000000000000e+04,2.073987600000000153e-01,1.470471375941823922e-01
3.200000000000000000e+04,2.070691339999999880e-01,1.527376037090933669e-01
4.000000000000000000e+04,2.108424859999999956e-01,1.470055069140669968e-01
4.800000000000000000e+04,2.119930339999999969e-01,1.472102766938940543e-01
5.600000000000000000e+04,2.063590359999999957e-01,1.690611146990421976e-01
6.400000000000000000e+04,2.084919140000000004e-01,1.917348234688279196e-01
7.200000000000000000e+04,2.066692739999999862e-01,1.567110885529895137e-01
8.000000000000000000e+04,2.066277519999999979e-01,1.614178679674294625e-01
