timesteps,mean_reward,std_reward
8.000000000000000000e+03,2.072726160000000206e-01,1.398707683701800042e-01
1.600000000000000000e+04,2.072691480000000142e-01,9.266399420365008244e-02
2.400000000000000000e+04,2.069041059999999765e-01,1.191670278164843888e-01
3.200000000000000000e+04,2.172240019999999994e-01,2.634409945335804970e-01
4.000000000000000000e+04,2.060707600000000195e-01,2.140360828403528870e-01
4.800000000000000000e+04,2.036578059999999968e-01,1.255045767199760853e-01
5.600000000000000000e+04,2.069442639999999889e-01,1.882150950320996274e-01
6.400000000000000000e+04,2.033301300000000256e-01,1.593768285031707532e-01
7.200000000000000000e+04,2.013443279999999891e-01,1.455519092904672962e-01
8.000000000000000000e+04,1.998326120000000206e-01,1.377687468779238700e-01
