timesteps,mean_reward,std_reward
8.000000000000000000e+03,1.985215120000000111e-01,1.318093159515891510e-01
1.600000000000000000e+04,2.032914779999999699e-01,1.432134611017467085e-01
2.400000000000000000e+04,2.072527220000000003e-01,2.294066829589075096e-01
3.200000000000000000e+04,2.050602800000000114e-01,1.728578013561251070e-01
4.000000000000000000e+04,2.127576019999999901e-01,2.235345856316279245e-01
4.800000000000000000e+04,2.142740299999999765e-01,2.065057174180247868e-01
5.600000000000000000e+04,2.183112960000000158e-01,1.962579384486048961e-01
6.400000000000000000e+04,2.079309220000000180e-01,1.849077754246367944e-01
7.200000000000000000e+04,2.113739000000000035e-01,1.608965494927159789e-01
8.000000000000000000e+04,2.008689859999999994e-01,1.056217051551896075e-01
