timesteps,mean_reward,std_reward
8.000000000000000000e+03,2.075051260000000120e-01,1.802512232039553408e-01
1.600000000000000000e+04,2.100862240000000158e-01,1.602876111114075464e-01
2.400000000000000000e+04,2.311279639999999913e-01,2.819149618157267834e-01
3.200000000000000000e+04,2.169357819999999937e-01,1.918617361994686132e-01
4.000000000000000000e+04,1.951477360000000161e-01,1.959406310028583564e-01
4.800000000000000000e+04,2.020104499999999803e-01,1.693918524679729198e-01
5.600000000000000000e+04,2.141894599999999982e-01,2.033769646304526557e-01
6.400000000000000000e+04,2.118254860000000073e-01,1.436970970095422795e-01
7.200000000000000000e+04,1.975224459999999904e-01,5.551512227113513526e-02
8.000000000000000000e+04,2.135298500000000210e-01,2.064381821956187968e-01
