timesteps,mean_reward,std_reward
8.000000000000000000e+03,2.029285399999999906e-01,5.078640845935455950e-02
1.600000000000000000e+04,2.008507900000000013e-01,4.868522729142690797e-02
2.400000000000000000e+04,2.164258559999999998e-01,2.463215247223986826e-01
3.200000000000000000e+04,2.083316340000000155e-01,1.601562308596204409e-01
4.000000000000000000e+04,1.982750079999999748e-01,1.788776382964509526e-01
4.800000000000000000e+04,2.018341179999999790e-01,1.779591768083345349e-01
5.600000000000000000e+04,2.268294139999999792e-01,1.917129438521838480e-01
6.400000000000000000e+04,2.085073900000000147e-01,1.782567110543047673e-01
7.200000000000000000e+04,2.078760239999999926e-01,1.753908738010488133e-01
8.000000000000000000e+04,1.973261860000000145e-01,1.573170717576811706e-01
