timesteps,mean_reward,std_reward
8.000000000000000000e+03,1.950284720000000083e-01,6.738070486028782669e-02
1.600000000000000000e+04,2.317103639999999742e-01,2.699663207214698657e-01
2.400000000000000000e+04,2.120664839999999995e-01,2.297529852636908398e-01
3.200000000000000000e+04,2.084779560000000198e-01,1.217376099926479605e-01
4.000000000000000000e+04,1.959758500000000070e-01,1.182838520151905659e-01
4.800000000000000000e+04,1.985213599999999801e-01,1.189741648199238305e-01
5.600000000000000000e+04,2.210334780000000054e-01,1.936584653287573565e-01
6.400000000000000000e+04,2.135609640000000198e-01,1.563069943695121755e-01
7.200000000000000000e+04,2.131076080000000317e-01,1.936592596564758462e-01
8.000000000000000000e+04,2.112138859999999896e-01,1.675371678488955796e-01
