timesteps,mean_reward,std_reward
8.000000000000000000e+03,1.517581579999999764e-01,3.304666819477525830e-01
1.600000000000000000e+04,1.357739880000000121e-01,3.472928381180813706e-01
2.400000000000000000e+04,1.542973259999999847e-01,3.966280313543102953e-01
3.200000000000000000e+04,1.387638159999999843e-01,3.247789457551615300e-01
4.000000000000000000e+04,1.339896839999999978e-01,3.271411020691960547e-01
4.800000000000000000e+04,2.195663900000000002e-01,2.140937746959352683e-01
5.600000000000000000e+04,2.244499879999999892e-01,2.268119564548568279e-01
6.400000000000000000e+04,2.151857259999999938e-01,1.876771204625404532e-01
7.200000000000000000e+04,2.107796120000000051e-01,1.606199141895968407e-01
8.000000000000000000e+04,1.981755740000000210e-01,1.553205674474328057e-01
