timesteps,mean_reward,std_reward
8.000000000000000000e+03,1.025486999999999926e-01,3.471085169788808433e-01
1.600000000000000000e+04,1.490632679999999988e-01,3.480636809721005531e-01
2.400000000000000000e+04,2.042478300000000191e-01,1.035651198390128980e-01
3.200000000000000000e+04,2.121505619999999870e-01,1.499189049641644067e-01
4.000000000000000000e+04,2.036032060000000088e-01,1.747793886007259212e-01
4.800000000000000000e+04,2.099502659999999965e-01,1.726561315883894387e-01
5.600000000000000000e+04,2.032622219999999924e-01,1.334175132285290166e-01
6.400000000000000000e+04,2.164154939999999860e-01,1.645580416566810311e-01
7.200000000000000000e+04,2.092572119999999702e-01,1.387230148081242398e-01
8.000000000000000000e+04,2.035973339999999909e-01,1.710359645838337717e-01
