timesteps,mean_reward,std_reward
8.000000000000000000e+03,1.641965680000000150e-01,3.508914774753489896e-01
1.600000000000000000e+04,2.121710019999999974e-01,1.417577508053298463e-01
2.400000000000000000e+04,2.060951780000000455e-01,1.242927266089947774e-01
3.200000000000000000e+04,2.150116900000000053e-01,2.213885525542409194e-01
4.000000000000000000e+04,2.090722979999999898e-01,1.678130396791298329e-01
4.800000000000000000e+04,2.235846200000000117e-01,2.085008066190430775e-01
5.600000000000000000e+04,1.875594399999999939e-01,1.332785935965052071e-01
6.400000000000000000e+04,2.173991040000000097e-01,2.012045119169279250e-01
7.200000000000000000e+04,2.301246160000000041e-01,2.255029260431725413e-01
8.000000000000000000e+04,2.119023499999999893e-01,2.079649778375953217e-01
