timesteps,mean_reward,std_reward
8.000000000000000000e+03,1.960257839999999807e-01,1.351781168073492023e-01
1.600000000000000000e+04,2.303528380000000042e-01,2.390235221217772987e-01
2.400000000000000000e+04,2.086981159999999891e-01,2.015883527388686869e-01
3.200000000000000000e+04,2.166194899999999979e-01,2.329323856867865639e-01
4.000000000000000000e+04,2.028531780000000229e-01,1.686973314429790205e-01
4.800000000000000000e+04,2.011755219999999955e-01,1.179315237769338748e-01
5.600000000000000000e+04,2.137581339999999885e-01,1.870612838330156513e-01
6.400000000000000000e+04,2.135087360000000045e-01,1.559751927550092898e-01
7.200000000000000000e+04,1.988524600000000087e-01,9.481299649925847839e-02
8.000000000000000000e+04,2.209309780000000001e-01,2.038090037079164640e-01
