timesteps,mean_reward,std_reward
8.000000000000000000e+03,9.660436200000001306e-02,5.802173601925566526e-01
1.600000000000000000e+04,2.043469380000000335e-01,2.235480235770966606e-01
2.400000000000000000e+04,2.085017080000000078e-01,1.747000916501955936e-01
3.200000000000000000e+04,1.863935740000000063e-01,1.824070436168201415e-01
4.000000000000000000e+04,2.128587320000000227e-01,2.058522276026377440e-01
4.800000000000000000e+04,2.067589259999999818e-01,1.710396242035175929e-01
5.600000000000000000e+04,2.074447739999999984e-01,1.798543280135646849e-01
6.400000000000000000e+04,2.313628159999999989e-01,2.604237015672846711e-01
7.200000000000000000e+04,2.102214480000000052e-01,1.994829033110539496e-01
8.000000000000000000e+04,2.125596239999999748e-01,1.805778892338002206e-01
