timesteps,mean_reward,std_reward
8.000000000000000000e+03,1.168814980000000003e-01,3.621316205894121731e-01
1.600000000000000000e+04,1.018634699999999976e-01,3.454743467059646633e-01
2.400000000000000000e+04,2.128488919999999840e-01,1.826155236326318654e-01
3.200000000000000000e+04,2.061614479999999971e-01,1.356084445497377500e-01
4.000000000000000000e+04,2.003374959999999760e-01,1.115854092390845820e-01
4.800000000000000000e+04,2.027971960000000129e-01,1.186133228739233297e-01
5.600000000000000000e+04,2.088656959999999896e-01,1.351342842210206396e-01
6.400000000000000000e+04,2.102927639999999931e-01,1.516359078472124533e-01
7.200000000000000000e+04,2.043388080000000107e-01,1.160133438321607063e-01
8.000000000000000000e+04,2.175798560000000159e-01,2.112740157114908202e-01
