timesteps,mean_reward,std_reward
8.000000000000000000e+03,1.940242159999999993e-01,7.067092807329859727e-02
1.600000000000000000e+04,2.059474579999999722e-01,1.452114783840734447e-01
2.400000000000000000e+04,2.142567700000000130e-01,1.919399487820216410e-01
3.200000000000000000e+04,2.036063079999999859e-01,1.053599498380154709e-01
4.000000000000000000e+04,2.120243139999999915e-01,1.618263124238682182e-01
4.800000000000000000e+04,2.102319779999999860e-01,1.619957003138587093e-01
5.600000000000000000e+04,2.044335860000000005e-01,8.247435407132694407e-02
6.400000000000000000e+04,2.145628680000000177e-01,1.611546776596279318e-01
7.200000000000000000e+04,2.155159739999999990e-01,1.637197358095025812e-01
8.000000000000000000e+04,2.127388139999999983e-01,1.752433747568660771e-01
