timesteps,mean_reward,std_reward
8.000000000000000000e+03,1.660517120000000180e-01,3.766085720422798211e-01
1.600000000000000000e+04,2.124817499999999970e-01,1.899461356826074032e-01
2.400000000000000000e+04,2.085859359999999996e-01,1.172121913995464310e-01
3.200000000000000000e+04,2.100845620000000025e-01,1.386552226279636202e-01
4.000000000000000000e+04,2.124442019999999987e-01,1.322321859805591915e-01
4.800000000000000000e+04,2.254380420000000051e-01,2.208295188441623258e-01
5.600000000000000000e+04,2.114887380000000094e-01,1.453412806240310939e-01
6.400000000000000000e+04,2.071406939999999863e-01,1.585293418746711591e-01
7.200000000000000000e+04,2.103414260000000258e-01,1.597222852183893815e-01
8.000000000000000000e+04,2.159788979999999747e-01,1.731677956988527112e-01
