timesteps,mean_reward,std_reward
8.000000000000000000e+03,1.708083539999999956e-01,2.753884538712992325e-01
1.600000000000000000e+04,2.120207880000000156e-01,1.961262749358765878e-01
2.400000000000000000e+04,2.208863739999999964e-01,1.791517806467524954e-01
3.200000000000000000e+04,2.106132140000000208e-01,2.381909207399983963e-01
4.000000000000000000e+04,2.119886140000000196e-01,1.245291790510521385e-01
4.800000000000000000e+04,2.196482660000000087e-01,2.841347247516417540e-01
5.600000000000000000e+04,2.193125100000000161e-01,1.880711988746440189e-01
6.400000000000000000e+04,2.109912200000000071e-01,1.811710422867948422e-01
7.200000000000000000e+04,2.084391400000000227e-01,1.292624832549506553e-01
8.000000000000000000e+04,2.064016920000000255e-01,1.867574560309417375e-01
