timesteps,mean_reward,std_reward
8.000000000000000000e+03,1.437066020000000166e-01,3.444798954327575879e-01
1.600000000000000000e+04,1.468967739999999800e-01,3.290674854777708713e-01
2.400000000000000000e+04,1.566435839999999746e-01,3.473595314133627321e-01
3.200000000000000000e+04,1.504555680000000117e-01,3.411860799578982917e-01
4.000000000000000000e+04,1.192435579999999995e-01,3.327527737578616085e-01
4.800000000000000000e+04,2.205376779999999870e-01,1.608785527259314896e-01
5.600000000000000000e+04,2.060563599999999940e-01,1.031051422030074965e-01
6.400000000000000000e+04,2.082523580000000263e-01,1.594271934018843540e-01
7.200000000000000000e+04,2.162209639999999877e-01,1.853170290338011783e-01
8.000000000000000000e+04,2.150858680000000134e-01,2.059927331506103687e-01
