timesteps,mean_reward,std_reward
8.000000000000000000e+03,1.513095320000000243e-01,2.830026072056598396e-01
1.600000000000000000e+04,1.586538479999999862e-01,3.025788042967664793e-01
2.400000000000000000e+04,1.919749980000000078e-01,1.054371917555944477e-01
3.200000000000000000e+04,2.056022140000000054e-01,1.607283068651947366e-01
4.000000000000000000e+04,2.170898620000000223e-01,1.914431169448276293e-01
4.800000000000000000e+04,2.151868079999999794e-01,1.953519303599919599e-01
5.600000000000000000e+04,2.036820960000000069e-01,1.550616858704521595e-01
6.400000000000000000e+04,2.118123719999999710e-01,1.702135780919184493e-01
7.200000000000000000e+04,2.212063459999999981e-01,2.429304576971654250e-01
8.000000000000000000e+04,2.224223779999999762e-01,2.473346980541450690e-01
