timesteps,mean_reward,std_reward
8.000000000000000000e+03,1.435359620000000169e-01,3.441057843806298866e-01
1.600000000000000000e+04,2.136581700000000084e-01,1.969078909180967951e-01
2.400000000000000000e+04,2.040012979999999976e-01,1.906904703497508125e-01
3.200000000000000000e+04,1.974052520000000033e-01,2.379257705918728094e-01
4.000000000000000000e+04,2.150476100000000279e-01,1.673864729304428978e-01
4.800000000000000000e+04,2.094518880000000027e-01,2.202689947698119877e-01
5.600000000000000000e+04,2.170388080000000275e-01,2.275122754400718816e-01
6.400000000000000000e+04,2.102312759999999947e-01,1.423363512314118062e-01
7.200000000000000000e+04,2.211350340000000081e-01,2.232489947732191615e-01
8.000000000000000000e+04,2.072310519999999989e-01,1.291208025584463792e-01
