timesteps,mean_reward,std_reward
8.000000000000000000e+03,2.088231060000000083e-01,4.764092903828500702e-01
1.600000000000000000e+04,1.498234420000000011e-01,2.919008474758417182e-01
2.400000000000000000e+04,1.480638260000000095e-01,3.693420588804309790e-01
3.200000000000000000e+04,1.482510340000000038e-01,3.956562002959903568e-01
4.000000000000000000e+04,1.564940419999999721e-01,3.778988106190018792e-01
4.800000000000000000e+04,2.189000059999999803e-01,1.902039158420193166e-01
5.600000000000000000e+04,2.130797000000000108e-01,1.476800650220536637e-01
6.400000000000000000e+04,2.272686579999999568e-01,2.104081251785895890e-01
7.200000000000000000e+04,2.119616340000000099e-01,2.072523427563800758e-01
8.000000000000000000e+04,2.040694759999999996e-01,6.800015972608758341e-02
