timesteps,mean_reward,std_reward
8.000000000000000000e+03,1.846147760000000082e-01,3.186227126942299814e-01
1.600000000000000000e+04,1.640689639999999838e-01,3.391620904545770698e-01
2.400000000000000000e+04,1.774969779999999997e-01,2.757933550335640582e-01
3.200000000000000000e+04,1.817792099999999966e-01,3.193468054578688098e-01
4.000000000000000000e+04,1.833014040000000011e-01,3.240714747321781775e-01
4.800000000000000000e+04,2.040254020000000224e-01,1.625559054358481081e-01
5.600000000000000000e+04,2.091508699999999887e-01,1.634459314813100639e-01
6.400000000000000000e+04,2.019369200000000197e-01,1.464627594562986357e-01
7.200000000000000000e+04,2.059951800000000000e-01,1.520404562171910612e-01
8.000000000000000000e+04,2.059400100000000067e-01,1.367580647802603966e-01
