timesteps,mean_reward,std_reward
8.000000000000000000e+03,1.547367520000000329e-01,3.781617805990162284e-01
1.600000000000000000e+04,1.616441100000000075e-01,3.797458123718204792e-01
2.400000000000000000e+04,2.209747039999999940e-01,2.338505970791273925e-01
3.200000000000000000e+04,2.140896919999999981e-01,1.716756014284066545e-01
4.000000000000000000e+04,2.280447720000000067e-01,2.158288362903252322e-01
4.800000000000000000e+04,2.103724780000000016e-01,1.485471501774622283e-01
5.600000000000000000e+04,2.062336740000000057e-01,1.346476599055465295e-01
6.400000000000000000e+04,2.113373119999999994e-01,1.588578682146359888e-01
7.200000000000000000e+04,2.106155579999999805e-01,1.478117876147725940e-01
8.000000000000000000e+04,2.045201279999999955e-01,1.511101347876296908e-01
