timesteps,mean_reward,std_reward
8.000000000000000000e+03,1.139576380000000000e-01,5.108399115858225370e-01
1.600000000000000000e+04,1.995410760000000117e-01,1.031511803312507997e-01
2.400000000000000000e+04,2.042231479999999932e-01,1.330945994944877364e-01
3.200000000000000000e+04,2.005339500000000164e-01,1.799966973308663176e-01
4.000000000000000000e+04,2.038360799999999751e-01,1.855790839240069046e-01
4.800000000000000000e+04,2.258573020000000098e-01,2.267123267953350674e-01
5.600000000000000000e+04,2.036037660000000193e-01,7.025870756798223427e-02
6.400000000000000000e+04,2.065419639999999946e-01,1.509042488576206598e-01
7.200000000000000000e+04,2.087102700000000033e-01,1.424311733837122507e-01
8.000000000000000000e+04,2.183724180000000126e-01,2.151107919526105139e-01
