timesteps,mean_reward,std_reward
8.000000000000000000e+03,2.111879200000000012e-01,1.629899717384894753e-01
1.600000000000000000e+04,2.060354780000000219e-01,1.826027417824866994e-01
2.400000000000000000e+04,2.026061180000000017e-01,1.798609013317349070e-01
3.200000000000000000e+04,2.130587559999999880e-01,2.392514549170986216e-01
4.000000000000000000e+04,2.140402639999999801e-01,1.980633033565135093e-01
4.800000000000000000e+04,2.168854399999999849e-01,1.978353167590620187e-01
5.600000000000000000e+04,2.201218379999999863e-01,2.005500870088461340e-01
6.400000000000000000e+04,2.101999579999999923e-01,1.786948351526485290e-01
7.200000000000000000e+04,2.172443200000000185e-01,2.241917878981957712e-01
8.000000000000000000e+04,2.116789599999999993e-01,2.032059985826953907e-01
