timesteps,mean_reward,std_reward
8.000000000000000000e+03,2.153040800000000365e-01,2.075544491191783636e-01
1.600000000000000000e+04,2.126462680000000272e-01,1.611263224904117830e-01
2.400000000000000000e+04,2.038575999999999999e-01,1.672394159154473869e-01
3.200000000000000000e+04,1.965391059999999912e-01,1.691290381109133156e-01
4.000000000000000000e+04,2.273019279999999864e-01,2.677928320027159192e-01
4.800000000000000000e+04,1.922839240000000227e-01,1.368611943588766977e-01
5.600000000000000000e+04,1.959210200000000013e-01,7.348691953627937978e-02
6.400000000000000000e+04,2.074467260000000257e-01,1.531911248473844522e-01
7.200000000000000000e+04,2.025793059999999868e-01,1.391490995425136157e-01
8.000000000000000000e+04,2.104382640000000138e-01,2.027990671297535963e-01
