timesteps,mean_reward,std_reward
8.000000000000000000e+03,1.349065680000000322e-01,3.815832781925504458e-01
1.600000000000000000e+04,1.499527920000000292e-01,3.410266598695367857e-01
2.400000000000000000e+04,1.996247539999999876e-01,8.976191693268077698e-02
3.200000000000000000e+04,2.052956019999999937e-01,1.001022980761760300e-01
4.000000000000000000e+04,2.092434900000000042e-01,1.647268161604354686e-01
4.800000000000000000e+04,2.059297139999999859e-01,1.241452829909223815e-01
5.600000000000000000e+04,2.097100520000000079e-01,1.687564043091262789e-01
6.400000000000000000e+04,2.151872680000000149e-01,1.730815526048578579e-01
7.200000000000000000e+04,2.021676819999999875e-01,1.194495387520474183e-01
8.000000000000000000e+04,2.124114960000000052e-01,1.406644925582926919e-01
