timesteps,mean_reward,std_reward
8.000000000000000000e+03,1.361596899999999999e-01,5.427043964488088568e-01
1.600000000000000000e+04,1.240327700000000144e-01,5.667754905010069510e-01
2.400000000000000000e+04,2.065194060000000165e-01,1.753035258633013349e-01
3.200000000000000000e+04,2.127414679999999891e-01,1.906850798494129084e-01
4.000000000000000000e+04,2.109093320000000049e-01,1.402673842674974081e-01
4.800000000000000000e+04,2.037862319999999838e-01,1.398432483607634780e-01
5.600000000000000000e+04,1.853312660000000223e-01,2.047690173801086644e-01
6.400000000000000000e+04,1.948376180000000180e-01,1.556981614162353533e-01
7.200000000000000000e+04,2.101081080000000156e-01,2.083549664878481811e-01
8.000000000000000000e+04,2.034437799999999907e-01,1.548995154257869211e-01
