timesteps,mean_reward,std_reward
8.000000000000000000e+03,2.097649380000000119e-01,1.638947181275411391e-01
1.600000000000000000e+04,2.011949600000000060e-01,2.205493233560384403e-01
2.400000000000000000e+04,2.024536859999999938e-01,1.215109190393497407e-01
3.200000000000000000e+04,2.175713519999999956e-01,1.820669277576355827e-01
4.000000000000000000e+04,2.122663759999999789e-01,1.565218833871948600e-01
4.800000000000000000e+04,2.036249700000000162e-01,1.283234559582662748e-01
5.600000000000000000e+04,1.954289439999999933e-01,1.374000973742335596e-01
6.400000000000000000e+04,2.175230119999999878e-01,1.861105230971098479e-01
7.200000000000000000e+04,2.181857339999999923e-01,1.827454109262589554e-01
8.000000000000000000e+04,2.056356520000000021e-01,1.520811824962933767e-01
