timesteps,mean_reward,std_reward
8.000000000000000000e+03,1.653412139999999864e-01,3.427349323477958398e-01
1.600000000000000000e+04,1.496837980000000068e-01,2.864178932071549388e-01
2.400000000000000000e+04,2.078447419999999990e-01,1.324408915294798261e-01
3.200000000000000000e+04,2.045335919999999863e-01,2.430743351709298561e-01
4.000000000000000000e+04,2.258352260000000000e-01,2.360661134744140299e-01
4.800000000000000000e+04,2.171038740000000300e-01,2.396381217526921958e-01
5.600000000000000000e+04,2.149188479999999957e-01,1.646076360885147249e-01
6.400000000000000000e+04,2.066760860000000088e-01,1.457985953961100645e-01
7.200000000000000000e+04,2.094158180000000036e-01,2.084751395073687896e-01
8.000000000000000000e+04,2.259957580000000188e-01,2.188735718003145259e-01
